name,organizationType,email,phone,addressLine,city,state,country,pincode,lat,lng,timezone,status
Rahul Transport Pvt Ltd,school,info@rahultrans.in,9383346190,"Plot No 454, Tech Park",Jaipur,Rajasthan,India,302001,25.166635,81.179370,Asia/Kolkata,inactive
Sunil Freight Pvt Ltd,taxi,info@sunilfreig.in,7845967751,"Plot No 82, Tech Park",Ahmedabad,Gujarat,India,380001,18.958875,75.384783,Asia/Kolkata,inactive
Megha Express Pvt Ltd,fleet,info@meghaexpre.in,7762115103,"Plot No 487, Tech Park",Hyderabad,Telangana,India,500001,16.428269,79.509947,Asia/Kolkata,active
Rohit Solutions Pvt Ltd,fleet,info@rohitsolut.in,9529361608,"Plot No 56, Industrial Area",Chandigarh,Chandigarh,India,160001,33.599332,78.408147,Asia/Kolkata,inactive
Priyanka Express Pvt Ltd,taxi,info@priyankaex.in,8362611442,"Plot No 417, Industrial Area",Bangalore,Karnataka,India,560001,15.375435,70.773252,Asia/Kolkata,inactive
Karan Fleet Services Pvt Ltd,transport,info@karanfleet.in,8065741573,"Plot No 72, Industrial Area",Bangalore,Karnataka,India,560001,22.172488,72.242153,Asia/Kolkata,active
Aarti Freight Pvt Ltd,transport,info@aartifreig.in,7580631783,"Plot No 435, Main Road",Indore,Madhya Pradesh,India,452001,14.221522,69.363748,Asia/Kolkata,active
Kavita Solutions Pvt Ltd,logistics,info@kavitasolu.in,8743304797,"Plot No 360, Main Road",Agra,Uttar Pradesh,India,282001,22.050794,74.646008,Asia/Kolkata,active
Raj Fleet Services Pvt Ltd,taxi,info@rajfleetse.in,8294284207,"Plot No 192, Tech Park",Hyderabad,Telangana,India,500001,31.428933,91.787784,Asia/Kolkata,inactive
Karan Carriers Pvt Ltd,logistics,info@karancarri.in,8325145367,"Plot No 31, Industrial Area",Jaipur,Rajasthan,India,302001,32.276243,81.621744,Asia/Kolkata,inactive
Neha Logistics Pvt Ltd,transport,info@nehalogist.in,7252721772,"Plot No 461, Main Road",Jaipur,Rajasthan,India,302001,19.278459,91.239652,Asia/Kolkata,active
Jyoti Solutions Pvt Ltd,school,info@jyotisolut.in,7367170150,"Plot No 445, Tech Park",Chandigarh,Chandigarh,India,160001,8.403338,73.982931,Asia/Kolkata,active
Sunil Logistics Pvt Ltd,fleet,info@sunillogis.in,9099997204,"Plot No 438, Tech Park",Hyderabad,Telangana,India,500001,11.787491,82.868973,Asia/Kolkata,inactive
Shweta Logistics Pvt Ltd,transport,info@shwetalogi.in,8803884496,"Plot No 201, Main Road",Bangalore,Karnataka,India,560001,31.697405,82.563558,Asia/Kolkata,active
Sanjay Solutions Pvt Ltd,school,info@sanjaysolu.in,7715352639,"Plot No 425, Main Road",Lucknow,Uttar Pradesh,India,226001,11.565072,91.389357,Asia/Kolkata,active
Jyoti Logistics Pvt Ltd,fleet,info@jyotilogis.in,7110670344,"Plot No 256, Industrial Area",Mumbai,Maharashtra,India,400001,9.018006,83.254892,Asia/Kolkata,active
Anjali Freight Pvt Ltd,transport,info@anjalifrei.in,9970186923,"Plot No 269, Main Road",Visakhapatnam,Andhra Pradesh,India,530001,28.858494,96.254167,Asia/Kolkata,inactive
Karan Travels Pvt Ltd,logistics,info@karantrave.in,8049478578,"Plot No 403, Tech Park",Bhopal,Madhya Pradesh,India,462001,29.849828,94.225300,Asia/Kolkata,inactive
Sangeeta Express Pvt Ltd,taxi,info@sangeetaex.in,7201019920,"Plot No 43, Tech Park",Ludhiana,Punjab,India,141001,30.351989,71.598722,Asia/Kolkata,inactive
Manish Transport Pvt Ltd,logistics,info@manishtran.in,8020222900,"Plot No 133, Industrial Area",Chennai,Tamil Nadu,India,600001,35.797682,92.049837,Asia/Kolkata,inactive
Pooja Freight Pvt Ltd,transport,info@poojafreig.in,9596866125,"Plot No 471, Main Road",Bhopal,Madhya Pradesh,India,462001,27.240641,74.297751,Asia/Kolkata,active
Kavita Transport Pvt Ltd,logistics,info@kavitatran.in,7000831023,"Plot No 217, Tech Park",Lucknow,Uttar Pradesh,India,226001,31.287148,95.335824,Asia/Kolkata,inactive
Vikram Solutions Pvt Ltd,taxi,info@vikramsolu.in,8901536570,"Plot No 425, Tech Park",Ahmedabad,Gujarat,India,380001,20.440022,79.105405,Asia/Kolkata,active
Sneha Travels Pvt Ltd,transport,info@snehatrave.in,8547213319,"Plot No 197, Main Road",Surat,Gujarat,India,395001,19.971174,92.418341,Asia/Kolkata,active
Neha Transport Pvt Ltd,fleet,info@nehatransp.in,7323611879,"Plot No 334, Industrial Area",Mumbai,Maharashtra,India,400001,26.710317,80.507452,Asia/Kolkata,active
Manish Travels Pvt Ltd,transport,info@manishtrav.in,7366231674,"Plot No 83, Main Road",Jaipur,Rajasthan,India,302001,15.892590,90.691631,Asia/Kolkata,inactive
Raj Logistics Pvt Ltd,fleet,info@rajlogisti.in,8847246565,"Plot No 494, Main Road",Visakhapatnam,Andhra Pradesh,India,530001,35.151210,71.525828,Asia/Kolkata,active
Neha Travels Pvt Ltd,taxi,info@nehatravel.in,8327897093,"Plot No 357, Industrial Area",Ludhiana,Punjab,India,141001,24.737645,79.533353,Asia/Kolkata,inactive
Ritu Express Pvt Ltd,transport,info@rituexpres.in,7803859842,"Plot No 50, Tech Park",Surat,Gujarat,India,395001,20.117692,92.741648,Asia/Kolkata,inactive
Anjali Fleet Services Pvt Ltd,school,info@anjaliflee.in,8094191620,"Plot No 274, Industrial Area",Pune,Maharashtra,India,411001,17.196008,70.173305,Asia/Kolkata,inactive
Aarti Fleet Services Pvt Ltd,logistics,info@aartifleet.in,9323693317,"Plot No 23, Tech Park",Pune,Maharashtra,India,411001,15.072267,88.803990,Asia/Kolkata,active
